trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.713196199852973,15.729627799941227,15.73459509992972,down,0,11.637124700006098,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
1,0,1,0,27.434046200010926,28.42962080007419,28.44618449988775,up,0,1.010656600119546,1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
2,0,2,0,29.46265670005232,30.462121000047773,30.462121000047773,up,1,0.795358800329268,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
3,0,3,0,31.278351499931887,32.27809159993194,32.27809159993194,down,1,0.6489271002355963,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
4,0,4,0,32.94453989993781,33.94444920006208,33.94444920006208,up,1,0.916191500145942,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
5,0,5,0,34.877289899857715,35.87692559999414,35.87692559999414,down,1,1.040827500168234,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
6,0,6,0,36.950005599996075,37.94305479992181,37.959861000068486,up,1,0.8457532001193613,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
7,0,7,0,38.80928359995596,39.80873339995742,39.80873339995742,up,1,0.8527148000430316,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
8,0,8,0,40.69192310003564,41.69169189990498,41.69169189990498,up,1,0.8661763002164662,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
9,0,9,0,42.574560599867254,43.57435250002891,43.57435250002891,up,1,0.9116092000622302,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
10,0,10,0,44.507310499902815,45.5071948999539,45.5071948999539,up,1,0.8295325001236051,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
11,0,11,0,46.356751299928874,47.35661479993723,47.35661479993723,down,1,0.4477357000578195,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
12,0,12,0,47.8226721000392,48.822676199954,48.822676199954,up,0,0.9274659000802785,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
13,0,13,0,49.772131900070235,50.7718819999136,50.7718819999136,down,0,1.3286531001795083,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
14,0,14,0,52.12165779992938,53.12114529986866,53.12114529986866,up,1,0.6842463000211865,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
15,0,15,0,53.83761419984512,54.8372309000697,54.8372309000697,down,1,0.7500742000993341,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
16,0,16,0,55.619949399959296,56.61992429988459,56.61992429988459,up,1,0.6390814001206309,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
17,0,17,0,57.28642029990442,58.28618549997918,58.28618549997918,up,0,1.0706509002484381,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
18,0,18,0,59.385639199987054,60.385393999982625,60.385393999982625,up,1,0.8328921000938863,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
19,0,19,0,61.235104099847376,62.23484340007417,62.23484340007417,up,1,1.1017465002369136,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
20,0,20,0,63.36768849985674,64.36744969990104,64.36744969990104,up,1,1.2088336001615971,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
21,0,21,0,65.60028150002472,66.60003209998831,66.60003209998831,up,1,1.057547700125724,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
22,0,22,0,67.68293250002898,68.68251339998096,68.68251339998096,up,1,0.809002400143072,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
23,0,23,0,69.51538019999862,70.51518890005536,70.51518890005536,down,1,0.6865207003429532,4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
24,0,24,0,71.23149959999137,72.23136039986275,72.23136039986275,down,1,0.7811928002629429,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
25,0,25,0,73.03126000007614,74.03088649990968,74.03088649990968,up,1,0.7843035000842065,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
26,0,26,0,74.84704919997603,75.8468714999035,75.8468714999035,down,1,0.7210097999777645,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
27,0,27,0,76.5966241999995,77.5964458999224,77.5964458999224,down,0,1.6650323001667857,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
28,0,28,0,79.27901279996149,80.2788626998663,80.2788626998663,up,1,0.7656918000429869,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
29,0,29,0,81.06167760002427,82.06138099986129,82.06138099986129,down,1,1.3812306001782417,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
30,0,30,0,83.46071089990437,84.46081639989279,84.46081639989279,up,1,0.9086371001321822,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
31,0,31,0,85.39357699989341,86.39324030000716,86.39324030000716,down,0,1.0442775001283735,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
32,0,32,0,87.45957119995728,88.45924529992044,88.45924529992044,down,1,0.7894069000612944,4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
33,0,33,0,89.2757482000161,90.27550160000101,90.27550160000101,up,0,1.016464900225401,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
34,0,34,0,91.30826599989086,92.30827529984526,92.30827529984526,down,1,0.7908474002033472,3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
35,0,35,0,93.12430829997174,94.12398539995775,94.12398539995775,down,1,1.202791800023988,1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
36,0,36,0,95.35678879986517,96.3567673000507,96.3567673000507,down,1,0.732020900119096,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
37,0,37,0,97.106225800002,98.10598369990475,98.10598369990475,down,1,0.629590000025928,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
38,0,38,0,98.75565449986607,99.75550569989718,99.75550569989718,down,0,1.5792989002075046,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
39,0,39,0,101.3549434999004,102.35434499988332,102.35434499988332,down,1,0.8638182000722736,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
40,0,40,0,103.237630299991,104.23725489992648,104.23725489992648,up,1,0.7060221000574529,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
41,0,41,0,104.97019329993054,105.97005559992976,105.97005559992976,up,0,0.5785952000878751,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
42,0,42,0,106.56952459993772,107.56983070005663,107.56983070005663,up,1,0.7821019000839442,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
43,0,43,0,108.36905710003339,109.36891980003566,109.36891980003566,down,1,1.3256900000851601,-2,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
44,0,44,0,110.71824000007473,111.71815630001947,111.71815630001947,down,1,1.1048444001935422,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
45,0,45,0,112.85095179989003,113.85053399996832,113.85053399996832,up,1,1.481875300174579,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
46,0,46,0,115.35018930002116,116.34971520002,116.34971520002,up,0,0.8608482002746314,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
47,0,47,0,117.23290130007081,118.2323467999231,118.2323467999231,up,1,0.868556400295347,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
48,0,48,0,119.13195439986885,120.13184729986824,120.13184729986824,up,1,0.8724010002333671,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
49,0,49,0,121.04971619998105,122.0479548999574,122.06471100007184,up,1,1.240957099944353,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
50,0,50,0,123.31413910002448,124.31330869998783,124.31330869998783,up,1,0.7054388001561165,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
51,0,51,0,125.04632869991474,126.04645909997635,126.04645909997635,up,1,0.6834075001534075,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
52,0,52,0,126.76254929997958,127.76260109990835,127.76260109990835,down,1,0.7405868002679199,-2,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
53,0,53,0,128.5288448999636,129.52826719987206,129.52826719987206,down,1,0.7049409002065659,4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
54,0,54,0,130.261751400074,131.26155090006068,131.26155090006068,up,1,1.21052910014987,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
55,0,55,0,132.4942349998746,133.4941026000306,133.4941026000306,down,1,0.6594291999936104,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
56,0,56,0,134.17723260005005,135.1770661000628,135.1770661000628,up,1,1.3599274002481252,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
57,0,57,0,136.55962789990008,137.55929340003058,137.55929340003058,up,1,0.8961874002125114,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
58,0,58,0,138.47562170005403,139.47532949992456,139.47532949992456,down,1,1.4944748000707477,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
59,0,59,0,140.9913363000378,141.99115630006418,141.99115630006418,up,1,0.6662790002301335,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
60,0,60,0,142.67428769986145,143.67402229993604,143.67402229993604,down,1,0.6029600000474602,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
61,0,61,0,144.30690869991668,145.30673259985633,145.30673259985633,down,0,0.8730352001730353,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
62,0,62,0,146.20692220004275,147.20621349988505,147.20621349988505,up,0,0.5934974001720548,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
63,0,63,0,147.82300890004262,148.82226749998517,148.82226749998517,down,1,1.162274000234902,3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
64,0,64,0,150.00519529986195,151.004949899856,151.004949899856,down,1,0.8245552000589669,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
65,0,65,0,151.85438350006007,152.85420519998297,152.85420519998297,down,1,0.5824818001128733,2,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
66,0,66,0,153.4539171999786,154.45374679984525,154.45374679984525,up,1,0.824623100226745,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
67,0,67,0,155.30305029987358,156.30299089988694,156.30299089988694,down,1,0.6113072000443935,3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
68,0,68,0,156.93571799993515,157.9360487998929,157.9360487998929,down,1,1.203063900116831,-2,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
69,0,69,0,159.1687175000552,160.16842089989223,160.16842089989223,up,1,0.5866501999553293,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
70,0,70,0,160.78476700000465,161.78461929992773,161.78461929992773,up,1,1.3141740001738071,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
71,0,71,0,163.11740959994495,164.11688779992983,164.11688779992983,down,1,0.7343656001612544,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
72,0,72,0,164.8836739999242,165.88319840002805,165.88319840002805,up,0,0.9640567000024021,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
73,0,73,0,166.86612319992855,167.86579880001955,167.86579880001955,up,1,0.7588434002827853,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
74,0,74,0,168.6487467000261,169.64914259989746,169.64914259989746,up,0,1.0671190000139177,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
75,0,75,0,170.74810489988886,171.74771469994448,171.74771469994448,up,0,0.8221702000591904,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
76,0,76,0,172.5976032000035,173.59711949992925,173.59711949992925,down,1,0.622191300150007,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
77,0,77,0,174.24708199989982,175.2465394998435,175.2465394998435,up,1,1.4889376000501215,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
78,0,78,0,176.7627516000066,177.7624665000476,177.7624665000476,up,1,0.7182710003107786,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
79,0,79,0,178.51208160002716,179.5117698998656,179.5117698998656,down,1,0.8762891001533717,-5,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
80,0,80,0,180.41160669992678,181.4113115000073,181.4113115000073,up,1,0.9399627002421767,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
81,0,81,0,182.3774818999227,183.37711640005,183.37711640005,down,1,0.8613861000631005,3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
82,0,82,0,184.2602017999161,185.26007619989105,185.26007619989105,down,1,0.870846499921754,1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
83,0,83,0,186.1595512998756,187.15922589995898,187.15922589995898,down,1,1.00863440008834,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
84,0,84,0,188.19220639998093,189.1918289999012,189.1918289999012,up,1,0.6420658999122679,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
85,0,85,0,189.8583651999943,190.85820019990206,190.85820019990206,down,1,0.7026223002467304,-4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
86,0,86,0,191.59093909990042,192.59098999993876,192.59098999993876,down,1,1.253646100172773,4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
87,0,87,0,193.8735398000572,194.8733303998597,194.8733303998597,up,0,0.9078701001126319,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
88,0,88,0,195.80634090001695,196.80610879999585,196.80610879999585,up,1,0.8084476001095027,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
89,0,89,0,197.63929209997877,198.6388769999612,198.6388769999612,up,1,0.7717862999998033,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
90,0,90,0,199.43852879991755,200.4382517999038,200.4382517999038,up,1,1.1053020001854748,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
91,0,91,0,201.5708385000471,202.57069299998693,202.57069299998693,down,1,0.7736892001703382,-2,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
92,0,92,0,203.37036990001798,204.3703029998578,204.3703029998578,up,0,0.6708476999774575,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
93,0,93,0,205.06992919999175,206.0695944998879,206.0695944998879,down,1,1.2159038002137095,4,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
94,0,94,0,207.30265740002505,208.30225709988736,208.30225709988736,up,1,0.7102342001162469,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
95,0,95,0,209.03575629997067,210.03467540000565,210.05130270007066,down,1,0.4366716002114117,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
96,0,96,0,210.50124730006792,211.5010958998464,211.5010958998464,up,1,0.8428386002779007,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
97,0,97,0,212.3674874000717,213.36710270005278,213.36710270005278,up,1,4.05171940010041,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
98,0,98,0,217.44892939995043,218.4488158999011,218.4488158999011,down,1,0.7859906002413481,3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
99,0,99,0,219.26521919993684,220.26478029997088,220.26478029997088,down,1,0.9165491003077477,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
,,,,,,,,,,-5,,,,,,,
